GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
textparser,ua.lviv.iot.textparser.processors,StringProcessor,10,67,0,6,4,16,3,6,3,3
textparser,ua.lviv.iot.textparser.models,Main,30,0,2,0,10,0,3,0,2,0
